OBJECTID,NAAM,TYPE,STRAATNAAM,DISTRICT,POSTCODE,CLUSTER,BEHEERDER,SHAPE_Length,SHAPE_Area
26322,NELLO EN PATRASCHEPLEIN,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,265.310294573707,3730.31335663724
26323,STAATSEIGENDOM,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,189.955928242185,319.80489015496
26324,HERTOGSVELDEN BUURTPARK,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,165.160407803268,1315.98092883074
26325,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,SB,925.480404190469,11173.5334696293
26326,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,,719.060068829501,6542.75831276006
26327,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,,347.456485150442,2334.71990861809
26328,STEDELIJK ONDERWIJS ANTWERPEN,buurtpark,VEERRDAMLAAN,HOBOKEN,2660,Cluster Zuid,SB,79.6292291141246,354.209007510301
26329,PAUL VEKEMANSLAAN BUURTPARK,buurtpark,PAUL VEKEMANSLAAN,HOBOKEN,2660,Cluster Zuid,,323.074189186008,5416.78886998335
26330,HOF VAN TICHELEN BUURTPARK,buurtpark,HOF VAN TICHELEN,ANTWERPEN,2020,Cluster Zuid,SB,485.208067061607,6863.39824182829
26331,DEN BRANDT,park,BEUKENLAAN,ANTWERPEN,2020,Cluster Zuid,SB,213.167442363401,233.282780976015
26332,DEN BRANDT,park,BEUKENLAAN,ANTWERPEN,2020,Cluster Zuid,SB,615.126541584671,483.395102770589
26333,LANGE BREMSTRAAT,buurtpark,LEIEBOS,MERKSEM,2170,Cluster Noord,SB,584.146498734117,8120.01638290806
26334,MASTVEST,park,ERIC SASSELAAN,ANTWERPEN,2020,Cluster Zuid,SB,282.870545017492,691.149849146719
26335,BOEKENBERGPARK,park,MENEGEMLEI,DEURNE,2100,Cluster Zuid,SB,1676.53858614879,100300.545539695
26336,PARK GROOT SCHIJN,park,RUGGEVELDLAAN,DEURNE,2100,Cluster Zuid,,1555.5696479582,49012.7901623277
26337,FREDEGANDUS BEGRAAFPARK,park,LAKBORSLEI,DEURNE,2100,Cluster Noord,SB,1371.08347171709,53326.7676644542
26338,SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,471.854916379261,3869.49402800269
26339,SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,2976.87734992293,37671.1422376181
26340,'T SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,2783.50458174703,20524.3159586216
26341,HET SCHIJNTJE,park,TEN EEKHOVELEI,DEURNE,2100,Cluster Noord,SB,81.3725941491315,352.683406366105
26342,HET SCHIJNTJE,park,TEN EEKHOVELEI,DEURNE,2100,Cluster Noord,SB,205.257803652023,2279.86237155959
